flag_setting,era3,irr,ci_lo,ci_hi,p,total,years
Freshwater marina,A: pre-2011,1.0990372732636646,1.037187924973371,1.1645748074572335,0.0013958562765635804,24,30
Freshwater marina,B: 2011-2016,0.6900079310571552,0.40702594246377843,1.1697312019961608,0.1682591779059314,6,6
Freshwater marina,C: 2017+,0.9035749081218027,0.6584800793972618,1.2398972119774037,0.5299660872623972,6,9
Private freshwater dock,A: pre-2011,1.27090748878999,1.0953459968693113,1.4746078861647527,0.0015741965201271947,14,30
Private freshwater dock,B: 2011-2016,0.8781792770893316,0.6561975717301216,1.1752540331348815,0.3822409982959599,16,6
Private freshwater dock,C: 2017+,0.8015507733052722,0.6358953990314882,1.0103605768571784,0.061109245116655,13,9
